,Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares
3195,TROV,"TrovaGene, Inc. - Common Stock",S,N,N,100.0,N,N
3196,TROW,"T. Rowe Price Group, Inc. - Common Stock",Q,N,N,100.0,N,N
3197,TRPX,Therapix Biosciences Ltd. - American Depositary Shares,S,N,D,100.0,N,N
3198,TRS,TriMas Corporation - Common Stock,Q,N,N,100.0,N,N
3199,TRST,TrustCo Bank Corp NY - Common Stock,Q,N,N,100.0,N,N
3200,TRUE,"TrueCar, Inc. - Common Stock",Q,N,N,100.0,N,N
3201,TRUP,"Trupanion, Inc. - Common Stock",G,N,N,100.0,N,N
3202,TRVG,trivago N.V. - American Depositary Shares,Q,N,N,100.0,N,N
3203,TRVI,"Trevi Therapeutics, Inc. - Common Stock",G,N,N,100.0,N,N
3204,TRVN,"Trevena, Inc. - Common Stock",S,N,D,100.0,N,N
3205,TSBK,"Timberland Bancorp, Inc. - Common Stock",G,N,N,100.0,N,N
3206,TSC,"TriState Capital Holdings, Inc. - Common Stock",Q,N,N,100.0,N,N
3207,TSCAP,"TriState Capital Holdings, Inc. - Dep Shs Rep 1/40th Int 6.75% Srs A Non-Cum Pfd",Q,N,N,100.0,N,N
3208,TSCBP,"TriState Capital Holdings, Inc. - Depositary Share, representing a 1/40th Interest in a Share of 6.375% Fixed-to-Floating Rate Series B Non-Cumulative Perpetual Preferred Stock",Q,N,N,100.0,N,N
3209,TSCO,Tractor Supply Company - Common Stock,Q,N,N,100.0,N,N
3210,TSEM,Tower Semiconductor Ltd. - Ordinary Shares,Q,N,N,100.0,N,N
3211,TSG,The Stars Group Inc. - Common Stock,Q,N,N,100.0,N,N
3212,TSLA,"Tesla, Inc.  - Common Stock",Q,N,N,100.0,N,N
3213,TSRI,"TSR, Inc. - Common Stock",S,N,N,100.0,N,N
3214,TTD,"The Trade Desk, Inc. - Class A Common Stock",G,N,N,100.0,N,N
3215,TTEC,"TTEC Holdings, Inc. - Common Stock",Q,N,N,100.0,N,N
3216,TTEK,"Tetra Tech, Inc. - Common Stock",Q,N,N,100.0,N,N
3217,TTGT,"TechTarget, Inc. - Common Stock",G,N,N,100.0,N,N
3218,TTMI,"TTM Technologies, Inc. - Common Stock",Q,N,N,100.0,N,N
3219,TTNP,"Titan Pharmaceuticals, Inc. - Common Stock",S,N,D,100.0,N,N
3220,TTOO,"T2 Biosystems, Inc. - Common Stock",G,N,D,100.0,N,N
3221,TTPH,"Tetraphase Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0,N,N
3222,TTTN,UP Fintech China-U.S. Internet Titans ETF,G,N,N,100.0,Y,N
3223,TTWO,"Take-Two Interactive Software, Inc. - Common Stock",Q,N,N,100.0,N,N
3224,TUES,Tuesday Morning Corp. - Common Stock,Q,N,N,100.0,N,N
3225,TUR,iShares MSCI Turkey ETF,G,N,N,100.0,Y,N
3226,TURN,180 Degree Capital Corp. - Common Stock,G,N,N,100.0,N,N
3227,TUSA,First Trust Total US Market AlphaDEX ETF,G,N,N,100.0,Y,N
3228,TUSK,"Mammoth Energy Services, Inc. - Common Stock",Q,N,D,100.0,N,N
3229,TVIX,Credit Suisse AG - VelocityShares Daily 2x VIX Short Term ETN,G,N,N,100.0,N,N
3230,TVTY,"Tivity Health, Inc. - Common Stock",Q,N,N,100.0,N,N
3231,TW,Tradeweb Markets Inc. - Class A Common Stock,Q,N,N,100.0,N,N
3232,TWIN,"Twin Disc, Incorporated - Common Stock",Q,N,N,100.0,N,N
3233,TWMC,Trans World Entertainment Corp. - Common Stock,S,N,N,100.0,N,N
3234,TWNK,"Hostess Brands, Inc. - Class A Common Stock",S,N,N,100.0,N,N
3235,TWNKW,"Hostess Brands, Inc. - Warrants",S,N,N,100.0,N,N
3236,TWOU,"2U, Inc. - Common Stock",Q,N,N,100.0,N,N
3237,TWST,Twist Bioscience Corporation - Common Stock,Q,N,N,100.0,N,N
3238,TXG,"10x Genomics, Inc. - Common Stock",Q,N,N,100.0,N,N
3239,TXMD,"TherapeuticsMD, Inc. - Common Stock",Q,N,N,100.0,N,N
3240,TXN,Texas Instruments Incorporated - Common Stock,Q,N,N,100.0,N,N
3241,TXRH,"Texas Roadhouse, Inc. - Common Stock",Q,N,N,100.0,N,N
3242,TYHT,"Shineco, Inc. - Common Stock",S,N,D,100.0,N,N
3243,TYME,"Tyme Technologies, Inc. - Common Stock",S,N,N,100.0,N,N
3244,TZAC,Tenzing Acquisition Corp. - Ordinary Shares,S,N,N,100.0,N,N
